Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
Chunchaghatta,"7,84,946","7,68,689","5,93,788","3,57,597","3,53,998","2,48,206",97.9%,77.2%,60.2%,99.0%,"1,05,740",29.9%,18.1%,11.7%,31.6%,"₹3,59,35,303",7.29,₹144.78,"18,09,410"
Medahalli,"9,59,511","9,36,744","7,40,682","3,73,379","3,70,839","2,45,791",97.6%,79.1%,50.4%,99.3%,"1,25,001",33.7%,21.4%,12.2%,25.6%,"₹4,13,20,971",9.20,₹168.11,"22,61,094"
Ramaswamy Palya,"7,45,195","7,27,496","6,10,302","3,55,125","3,51,989","2,42,884",97.6%,83.9%,58.2%,99.1%,"1,09,046",31.0%,18.4%,12.4%,32.6%,"₹2,94,14,376",6.20,₹121.10,"15,05,775"
Girinagar,"5,62,542","5,57,743","4,00,640","3,28,710","3,24,966","2,42,516",99.1%,71.8%,82.0%,98.9%,"82,412",25.4%,14.5%,10.7%,43.1%,"₹2,95,42,403",6.52,₹121.82,"15,82,153"
Malleswaram,"6,48,701","6,40,246","4,72,303","3,48,266","3,44,337","2,41,506",98.7%,73.8%,73.7%,98.9%,"1,02,776",29.8%,16.4%,13.3%,37.2%,"₹3,03,79,001",6.67,₹125.79,"16,11,363"
Puttenahalli - Sarakki Lake,"7,32,850","7,19,208","5,66,995","3,62,415","3,58,559","2,39,591",98.1%,78.8%,63.9%,98.9%,"1,18,911",33.2%,19.0%,14.0%,32.7%,"₹3,20,30,447",7.03,₹133.69,"16,85,005"
Jakkasandra,"10,10,652","9,83,229","7,85,547","4,04,376","4,00,081","2,39,466",97.3%,79.9%,51.5%,98.9%,"1,60,556",40.1%,23.9%,16.1%,23.7%,"₹3,49,57,166",7.72,₹145.98,"18,49,535"
Chamrajapet,"8,02,234","7,87,982","5,93,435","3,99,882","3,95,895","2,37,541",98.2%,75.3%,67.4%,99.0%,"1,58,316",40.0%,24.3%,15.5%,29.6%,"₹3,15,25,560",7.14,₹132.72,"16,96,418"
Yelahanka Satellite Town,"6,25,126","6,17,655","4,23,944","3,51,129","3,47,323","2,37,048",98.8%,68.6%,82.8%,98.9%,"1,10,226",31.7%,18.8%,12.9%,37.9%,"₹3,70,69,034",8.64,₹156.38,"20,48,138"
Garudachar Playa,"9,55,643","9,28,550","7,57,709","3,91,225","3,87,316","2,34,893",97.2%,81.6%,51.6%,99.0%,"1,52,341",39.3%,24.2%,15.0%,24.6%,"₹3,74,14,555",8.24,₹159.28,"19,35,573"
Uttarahalli,"7,00,182","6,89,265","5,27,734","3,40,605","3,36,245","2,31,743",98.4%,76.6%,64.5%,98.7%,"1,04,460",31.1%,19.6%,11.3%,33.1%,"₹3,08,35,294",6.66,₹133.06,"15,43,012"
Basavanapura,"10,09,072","9,80,619","7,73,996","3,61,106","3,58,320","2,29,756",97.2%,78.9%,46.7%,99.2%,"1,28,513",35.9%,23.2%,12.5%,22.8%,"₹4,09,70,435",9.74,₹178.32,"22,38,460"
Begur,"9,65,009","9,36,140","7,39,541","3,64,847","3,60,882","2,29,518",97.0%,79.0%,49.3%,98.9%,"1,31,309",36.4%,22.2%,14.0%,23.8%,"₹3,97,77,036",9.52,₹173.31,"21,86,125"
Padmanabha Nagar,"5,90,586","5,82,835","4,44,094","3,16,675","3,12,223","2,23,560",98.7%,76.2%,71.3%,98.6%,"88,620",28.4%,16.7%,11.6%,37.9%,"₹2,73,92,687",6.48,₹122.53,"14,47,655"
Neelasandra,"9,16,930","8,87,845","7,65,679","3,59,213","3,56,158","2,22,431",96.8%,86.2%,46.9%,99.1%,"1,33,672",37.5%,22.4%,15.0%,24.3%,"₹2,77,50,894",6.31,₹124.76,"14,02,660"
Shettihalli,"6,49,655","6,39,289","4,44,616","3,30,494","3,26,526","2,21,524",98.4%,69.5%,74.3%,98.8%,"1,04,953",32.1%,18.8%,13.2%,34.1%,"₹3,02,91,008",7.47,₹136.74,"16,55,517"
Umamaheshwara Ward,"6,02,834","5,93,965","4,49,105","3,21,079","3,17,083","2,21,015",98.5%,75.6%,71.5%,98.8%,"96,018",30.3%,17.0%,13.2%,36.7%,"₹2,73,60,145",6.49,₹123.79,"14,34,069"
Anjanapura,"6,51,956","6,39,159","4,68,752","3,19,308","3,13,929","2,19,755",98.0%,73.3%,68.1%,98.3%,"94,138",30.0%,18.2%,11.7%,33.7%,"₹3,35,78,370",8.40,₹152.80,"18,44,984"
Dattatreya Temple,"5,42,083","5,34,932","4,03,567","3,03,392","3,00,159","2,11,900",98.7%,75.4%,75.2%,98.9%,"88,217",29.4%,15.9%,13.4%,39.1%,"₹2,72,58,638",6.84,₹128.64,"14,49,196"
Lakkasandra,"9,54,063","9,22,793","7,82,197","3,56,470","3,53,278","2,11,579",96.7%,84.8%,45.6%,99.1%,"1,41,616",40.1%,24.7%,15.3%,22.2%,"₹2,84,85,389",7.11,₹134.63,"15,03,657"
Vishwanath Nagenahalli,"6,80,571","6,66,082","5,19,117","3,02,422","3,00,057","2,01,232",97.9%,77.9%,58.3%,99.2%,"98,792",32.9%,20.1%,12.7%,29.6%,"₹2,79,53,482",7.43,₹138.91,"14,94,540"
Kanneshwara Rama,"5,56,821","5,49,159","4,09,333","2,92,278","2,89,394","2,00,501",98.6%,74.5%,71.4%,99.0%,"88,854",30.7%,18.3%,12.2%,36.0%,"₹2,70,82,601",7.28,₹135.07,"14,59,655"
Someshwara Ward,"5,26,405","5,19,902","3,54,828","2,89,603","2,86,450","1,98,561",98.8%,68.2%,81.6%,98.9%,"87,849",30.7%,17.6%,12.9%,37.7%,"₹3,44,55,653",9.72,₹173.53,"19,30,298"
HAL Airport,"8,61,431","8,35,503","6,87,360","3,04,719","3,02,171","1,97,513",97.0%,82.3%,44.3%,99.2%,"1,04,613",34.6%,21.9%,12.6%,22.9%,"₹3,20,83,781",8.76,₹162.44,"17,29,890"
Kuvempunagar,"5,60,897","5,52,338","3,92,807","2,86,804","2,83,457","1,97,151",98.5%,71.1%,73.0%,98.8%,"86,257",30.4%,18.5%,11.8%,35.1%,"₹3,04,61,002",8.61,₹154.51,"16,96,871"
Sudham Nagara,"8,36,773","8,14,219","6,66,178","3,34,267","3,30,848","1,96,592",97.3%,81.8%,50.2%,99.0%,"1,34,200",40.6%,24.6%,15.8%,23.5%,"₹2,81,77,923",7.65,₹143.33,"15,04,206"
Katriguppe,"4,90,770","4,85,194","3,59,552","2,74,602","2,70,970","1,92,541",98.9%,74.1%,76.4%,98.7%,"78,389",28.9%,17.2%,11.6%,39.2%,"₹2,32,40,004",6.42,₹120.70,"12,35,472"
Someshwara Nagar,"8,37,439","8,15,487","6,51,511","3,25,425","3,22,288","1,91,552",97.4%,79.9%,49.9%,99.0%,"1,30,694",40.6%,25.3%,15.1%,22.9%,"₹2,80,27,406",7.85,₹146.32,"15,02,735"
Kumaraswamy Layout,"5,23,777","5,18,633","3,78,521","2,79,208","2,76,002","1,87,559",99.0%,73.0%,73.8%,98.9%,"88,397",32.0%,17.1%,14.8%,35.8%,"₹2,27,69,262",6.46,₹121.40,"12,11,755"
Attiguppe,"4,46,058","4,42,686","2,95,520","2,54,262","2,50,366","1,85,487",99.2%,66.8%,86.0%,98.5%,"64,846",25.9%,13.6%,12.1%,41.6%,"₹2,30,57,777",6.65,₹124.31,"12,32,992"
Mattikere,"4,83,968","4,78,536","3,47,158","2,66,456","2,63,306","1,84,910",98.9%,72.5%,76.8%,98.8%,"78,363",29.8%,16.4%,13.3%,38.2%,"₹2,32,33,874",6.67,₹125.65,"12,34,201"
Dodda Bommasandra,"5,39,735","5,31,648","3,88,777","2,66,999","2,64,162","1,83,279",98.5%,73.1%,68.7%,98.9%,"80,842",30.6%,18.6%,11.9%,34.0%,"₹2,60,07,868",7.77,₹141.90,"14,23,608"
Manorayanapalya,"6,12,177","5,99,782","4,65,150","2,76,567","2,73,597","1,82,824",98.0%,77.6%,59.5%,98.9%,"90,729",33.2%,20.3%,12.8%,29.9%,"₹2,49,52,799",7.26,₹136.49,"13,27,718"
Devarachikkanahalli,"7,78,878","7,53,626","6,13,362","2,87,248","2,84,142","1,82,228",96.8%,81.4%,46.8%,98.9%,"1,01,864",35.8%,22.1%,13.6%,23.4%,"₹2,85,32,896",8.42,₹156.58,"15,33,685"
Okalipuram,"5,34,113","5,27,254","4,00,271","2,87,968","2,85,143","1,73,340",98.7%,75.9%,71.9%,99.0%,"1,11,775",39.2%,22.2%,16.9%,32.5%,"₹2,48,76,235",7.45,₹143.51,"12,90,553"
Chamundi Nagara,"5,31,097","5,22,505","4,02,782","2,58,108","2,55,958","1,72,512",98.4%,77.1%,64.1%,99.2%,"83,414",32.6%,20.0%,12.4%,32.5%,"₹2,11,94,238",6.38,₹122.86,"11,00,203"
Gurappanapalya,"7,45,835","7,24,901","5,77,703","3,20,350","3,16,971","1,71,584",97.2%,79.7%,55.5%,98.9%,"1,45,339",45.9%,29.8%,15.9%,23.0%,"₹2,35,07,819",7.22,₹137,"12,39,517"
Kudlu,"8,30,878","7,98,728","6,76,778","2,76,291","2,73,662","1,70,103",96.1%,84.7%,40.8%,99.0%,"1,03,524",37.8%,22.9%,14.8%,20.5%,"₹2,94,82,666",9.34,₹173.32,"15,88,157"
Chokkasandra,"5,81,285","5,70,683","4,25,239","2,85,520","2,82,053","1,69,019",98.2%,74.5%,67.1%,98.8%,"1,12,995",40.1%,19.0%,20.8%,29.1%,"₹1,79,43,595",5.37,₹106.16,"9,07,609"
Rajamahal Guttahalli,"4,51,410","4,43,821","3,43,371","2,39,798","2,37,376","1,67,266",98.3%,77.4%,69.8%,99.0%,"70,074",29.5%,16.8%,12.6%,37.1%,"₹2,06,16,067",6.50,₹123.25,"10,86,734"
Nalvadi Krishnaraja Wadior Park,"4,06,682","4,03,728","2,59,829","2,28,316","2,24,691","1,65,020",99.3%,64.4%,87.9%,98.4%,"59,639",26.5%,15.0%,11.5%,40.6%,"₹2,44,44,666",8.32,₹148.13,"13,72,358"
Bande Mutt,"5,77,684","5,70,109","3,47,517","2,52,057","2,49,016","1,63,991",98.7%,61.0%,72.5%,98.8%,"84,986",34.1%,19.7%,14.3%,28.4%,"₹2,38,54,867",7.98,₹145.46,"13,09,401"
Sir M. Vishweshwaraiah,"3,94,853","3,91,823","2,55,369","2,22,547","2,19,533","1,60,866",99.2%,65.2%,87.1%,98.6%,"58,633",26.7%,15.9%,10.7%,40.7%,"₹2,33,91,019",8.18,₹145.41,"13,15,487"
Kushal Nagar,"5,36,064","5,25,860","4,08,763","2,47,304","2,45,529","1,60,583",98.1%,77.7%,60.5%,99.3%,"84,916",34.6%,21.4%,13.1%,30.0%,"₹1,99,86,113",6.48,₹124.46,"10,40,125"
Kammanahalli,"5,29,432","5,19,696","4,12,705","2,53,068","2,51,263","1,58,577",98.2%,79.4%,61.3%,99.3%,"92,641",36.9%,23.4%,13.4%,30.0%,"₹2,03,49,030",6.75,₹128.32,"10,70,301"
Hanumanth Nagar,"4,06,016","4,01,772","2,85,808","2,22,373","2,19,471","1,58,265",99.0%,71.1%,77.8%,98.7%,"61,173",27.9%,15.4%,12.3%,39.0%,"₹1,89,04,555",6.35,₹119.45,"10,04,384"
Sriramamandir,"3,80,924","3,77,202","2,68,315","2,21,457","2,19,026","1,57,261",99.0%,71.1%,82.5%,98.9%,"61,737",28.2%,15.1%,12.9%,41.3%,"₹1,99,84,442",6.85,₹127.08,"10,76,812"
Vikram Nagar,"4,24,658","4,18,882","3,10,390","2,22,174","2,19,333","1,55,736",98.6%,74.1%,71.6%,98.7%,"63,566",29.0%,17.3%,11.6%,36.7%,"₹2,02,66,776",6.96,₹130.14,"10,84,667"
Tilak Nagar,"6,04,719","5,88,051","4,78,151","2,60,539","2,57,792","1,55,582",97.2%,81.3%,54.5%,98.9%,"1,02,162",39.6%,23.8%,15.7%,25.7%,"₹1,97,23,080",6.57,₹126.77,"10,22,411"
Vijinapura,"5,78,053","5,64,024","4,43,740","2,41,942","2,40,421","1,54,576",97.6%,78.7%,54.5%,99.4%,"85,813",35.7%,23.5%,12.1%,26.7%,"₹2,21,18,874",7.54,₹143.09,"11,64,993"
Marappana Palya,"4,63,258","4,58,637","2,98,542","2,36,648","2,33,694","1,53,517",99.0%,65.1%,79.3%,98.8%,"80,143",34.3%,18.7%,15.4%,33.1%,"₹2,03,40,443",6.62,₹132.50,"10,15,983"
Atturu Layout,"4,20,168","4,15,142","2,76,380","2,18,141","2,15,776","1,52,661",98.8%,66.6%,78.9%,98.9%,"63,082",29.2%,17.5%,11.7%,36.3%,"₹2,54,58,549",9.40,₹166.77,"14,35,645"
Vannarapete,"4,60,099","4,52,008","3,68,756","2,23,883","2,21,788","1,50,984",98.2%,81.6%,60.7%,99.1%,"70,774",31.9%,18.6%,13.1%,32.8%,"₹1,88,40,470",6.54,₹124.78,"9,87,518"
Gottigere,"4,34,553","4,28,441","2,94,600","2,18,037","2,15,490","1,49,829",98.6%,68.8%,74.0%,98.8%,"65,632",30.5%,17.8%,12.6%,34.5%,"₹2,29,86,823",8.44,₹153.42,"12,64,420"
Kadugondanahalli,"5,17,809","5,09,178","3,86,523","2,39,495","2,37,458","1,49,657",98.3%,75.9%,62.0%,99.1%,"87,779",37.0%,22.8%,14.0%,28.9%,"₹1,87,24,133",6.45,₹125.11,"9,65,606"
Sagayarapuram,"4,96,221","4,85,590","3,89,951","2,31,684","2,30,147","1,45,980",97.9%,80.3%,59.4%,99.3%,"84,128",36.6%,22.3%,14.1%,29.4%,"₹1,71,03,806",5.86,₹117.17,"8,55,173"
T Dasarahalli,"4,53,172","4,46,532","2,99,194","2,29,630","2,26,963","1,45,173",98.5%,67.0%,76.7%,98.8%,"81,750",36.0%,20.8%,15.1%,32.0%,"₹1,78,54,907",6.50,₹122.99,"9,43,058"
Hampi Nagar,"3,68,691","3,65,426","2,48,331","2,06,293","2,03,614","1,44,691",99.1%,68.0%,83.1%,98.7%,"58,899",28.9%,15.8%,13.0%,39.2%,"₹1,88,65,431",7.05,₹130.38,"10,20,507"
J P Park,"4,18,614","4,12,160","3,02,988","2,10,512","2,08,020","1,44,297",98.5%,73.5%,69.5%,98.8%,"63,696",30.6%,18.9%,11.6%,34.5%,"₹1,97,79,863",7.45,₹137.08,"10,74,956"
Srinagar,"3,60,029","3,56,592","2,48,562","1,99,735","1,96,905","1,43,858",99.0%,69.7%,80.4%,98.6%,"53,005",26.9%,14.8%,12.0%,40.0%,"₹1,72,73,416",6.44,₹120.07,"9,25,937"
Hosakerehalli,"4,21,027","4,16,533","2,94,127","2,23,528","2,20,477","1,43,782",98.9%,70.6%,76.0%,98.6%,"76,663",34.8%,19.8%,14.9%,34.2%,"₹1,90,07,543",7.28,₹132.20,"10,46,147"
Kengeri,"4,01,214","3,97,450","2,41,712","2,02,290","2,00,073","1,43,192",99.1%,60.8%,83.7%,98.9%,"56,847",28.4%,16.4%,11.9%,35.7%,"₹2,14,10,139",8.33,₹149.52,"11,93,489"
Naganathapura,"6,54,422","6,35,032","4,88,913","2,40,949","2,38,955","1,42,665",97.0%,77.0%,49.3%,99.2%,"96,254",40.3%,24.1%,16.0%,21.8%,"₹2,81,73,980",10.97,₹197.48,"15,65,619"
Bharathi Nagar,"6,09,643","5,96,299","4,94,212","2,59,753","2,57,891","1,41,488",97.8%,82.9%,52.6%,99.3%,"1,16,364",45.1%,29.4%,15.5%,23.2%,"₹1,79,27,806",6.47,₹126.71,"9,15,989"
Ullal,"3,58,852","3,55,451","2,25,903","1,94,412","1,91,584","1,40,253",99.1%,63.6%,86.1%,98.5%,"51,297",26.8%,15.4%,11.2%,39.1%,"₹2,16,50,070",8.72,₹154.36,"12,23,306"
Gali Anjenaya Temple ward,"4,52,853","4,48,984","2,67,460","2,16,181","2,14,270","1,37,092",99.1%,59.6%,80.8%,99.1%,"77,157",36.0%,20.0%,15.8%,30.3%,"₹2,06,03,538",8.15,₹150.29,"11,17,816"
Jaraganahalli,"4,39,611","4,32,777","3,30,815","2,22,696","2,20,038","1,36,406",98.4%,76.4%,67.3%,98.8%,"83,605",38.0%,23.0%,14.8%,31.0%,"₹1,60,35,401",6.10,₹117.56,"8,32,249"
Vidyapeeta ward,"3,67,253","3,62,798","2,70,660","2,02,305","2,00,194","1,36,175",98.8%,74.6%,74.7%,99.0%,"63,989",32.0%,19.5%,12.4%,37.1%,"₹1,65,35,518",6.42,₹121.43,"8,74,735"
Chickpete,"7,73,532","7,54,373","6,24,976","3,87,365","3,84,348","1,35,836",97.5%,82.8%,62.0%,99.2%,"2,48,455",64.6%,44.1%,20.4%,17.6%,"₹2,37,12,967",9.77,₹174.57,"13,26,487"
Dr. Raj Kumar Ward,"3,52,331","3,49,067","2,39,386","1,95,428","1,93,147","1,34,856",99.1%,68.6%,81.6%,98.8%,"58,268",30.2%,16.3%,13.7%,38.3%,"₹1,73,46,409",6.89,₹128.63,"9,28,499"
Doddagollarahatti,"3,47,615","3,44,240","2,10,971","1,82,327","1,79,910","1,32,418",99.0%,61.3%,86.4%,98.7%,"47,455",26.4%,14.3%,12.0%,38.1%,"₹2,10,95,906",9.08,₹159.31,"12,02,444"
Marenahalli,"3,15,642","3,13,391","2,08,153","1,80,114","1,77,713","1,31,582",99.3%,66.4%,86.5%,98.7%,"46,119",26.0%,13.5%,12.4%,41.7%,"₹1,61,91,892",6.58,₹123.06,"8,66,448"
Kamakya Nagar,"3,92,426","3,86,562","2,91,365","1,95,008","1,92,830","1,30,226",98.5%,75.4%,66.9%,98.9%,"62,579",32.5%,20.3%,12.0%,33.2%,"₹1,65,75,650",6.78,₹127.28,"8,83,277"
Mangammanapalya,"5,41,990","5,27,078","4,18,144","2,20,406","2,18,032","1,26,832",97.2%,79.3%,52.7%,98.9%,"91,162",41.8%,25.6%,16.1%,23.4%,"₹1,96,85,983",8.33,₹155.21,"10,56,105"
Agaram,"5,58,973","5,42,792","4,44,127","2,07,480","2,05,414","1,25,395",97.1%,81.8%,46.7%,99.0%,"79,990",38.9%,23.0%,15.9%,22.4%,"₹1,71,80,032",7.10,₹137.01,"8,90,375"
Defence Colony,"4,12,387","4,04,969","2,68,634","1,96,296","1,94,585","1,20,683",98.2%,66.3%,73.1%,99.1%,"73,878",38.0%,20.4%,17.4%,29.3%,"₹1,41,57,317",6.13,₹117.31,"7,40,100"
Rajaji Nagar,"3,02,432","2,99,985","1,97,973","1,67,858","1,65,796","1,19,833",99.2%,66.0%,84.8%,98.8%,"45,937",27.7%,14.6%,12.9%,39.6%,"₹1,52,76,523",6.85,₹127.48,"8,21,383"
Kadugodi,"5,48,035","5,34,593","4,17,380","1,93,909","1,92,330","1,18,437",97.5%,78.1%,46.5%,99.2%,"73,867",38.4%,24.1%,14.2%,21.6%,"₹2,12,09,425",9.66,₹179.08,"11,43,916"
Kammagondanahalli,"3,34,027","3,28,190","2,28,634","1,67,913","1,66,270","1,17,620",98.3%,69.7%,73.4%,99.0%,"48,619",29.2%,17.9%,11.2%,35.2%,"₹1,84,09,604",8.79,₹156.52,"10,34,020"
Chowdeswari Ward,"3,84,261","3,78,081","2,42,838","1,80,242","1,78,038","1,17,055",98.4%,64.2%,74.2%,98.8%,"60,948",34.2%,20.8%,13.3%,30.5%,"₹2,40,03,114",11.63,₹205.06,"13,60,934"
Nagarabhavi,"2,93,376","2,90,789","1,96,217","1,64,639","1,62,383","1,16,837",99.1%,67.5%,83.9%,98.6%,"45,522",28.0%,15.8%,12.2%,39.8%,"₹1,59,61,130",7.53,₹136.61,"8,80,052"
Gayithri Nagar,"3,02,411","2,99,641","2,03,737","1,63,671","1,61,828","1,16,019",99.1%,68.0%,80.3%,98.9%,"45,786",28.3%,15.0%,13.1%,38.4%,"₹1,40,10,681",6.39,₹120.76,"7,41,546"
Chanakya,"3,89,545","3,86,209","2,40,782","1,80,425","1,77,593","1,14,642",99.1%,62.3%,74.9%,98.4%,"62,919",35.4%,20.4%,14.9%,29.4%,"₹1,65,88,669",7.80,₹144.70,"8,94,053"
Veerabhadranagar,"3,37,210","3,33,895","2,31,874","1,76,351","1,74,400","1,13,160",99.0%,69.4%,76.1%,98.9%,"61,213",35.1%,19.2%,15.8%,33.6%,"₹1,29,03,260",6.01,₹114.03,"6,80,387"
Yelachenahalli,"3,68,891","3,63,365","2,73,826","1,86,290","1,84,386","1,09,451",98.5%,75.4%,68.0%,99.0%,"74,908",40.6%,25.6%,14.9%,29.7%,"₹1,39,14,352",6.71,₹127.13,"7,34,299"
Srinivasa Nagar,"2,71,696","2,69,279","1,87,459","1,49,431","1,47,492","1,08,970",99.1%,69.6%,79.7%,98.7%,"38,501",26.1%,14.0%,12.0%,40.1%,"₹1,30,41,926",6.40,₹119.68,"6,97,603"
Bommanahalli,"5,15,144","4,96,734","4,09,033","1,77,006","1,75,318","1,05,035",96.4%,82.3%,43.3%,99.0%,"70,251",40.1%,25.0%,15.0%,20.4%,"₹1,52,13,507",7.65,₹144.84,"8,03,229"
Vijayanagara Krishnadevaraya,"2,81,219","2,78,678","1,75,709","1,48,669","1,46,903","1,03,247",99.1%,63.1%,84.6%,98.8%,"43,638",29.7%,16.1%,13.5%,36.7%,"₹1,40,22,033",7.52,₹135.81,"7,76,339"
Deen Dayalu Ward,"3,28,950","3,24,433","2,31,782","1,61,174","1,59,114","1,02,482",98.6%,71.4%,69.5%,98.7%,"56,604",35.6%,21.9%,13.5%,31.2%,"₹1,33,45,064",6.99,₹130.22,"7,16,724"
Banashankari Temple ward,"3,63,100","3,58,951","2,47,594","1,71,053","1,69,253","1,02,193",98.9%,69.0%,69.1%,98.9%,"67,034",39.6%,23.2%,16.3%,28.1%,"₹1,12,71,072",5.63,₹110.29,"5,75,265"
Shivanagara,"2,37,306","2,35,399","1,60,523","1,36,163","1,34,661","99,421",99.2%,68.2%,84.8%,98.9%,"35,221",26.2%,13.6%,12.4%,41.9%,"₹1,22,58,121",6.61,₹123.30,"6,57,147"
Mahalakshimpuram,"2,39,548","2,37,377","1,63,505","1,37,951","1,36,482","98,556",99.1%,68.9%,84.4%,98.9%,"37,898",27.8%,15.4%,12.2%,41.1%,"₹1,21,62,328",6.61,₹123.41,"6,51,265"
Bagalakunte,"3,27,889","3,23,154","2,04,907","1,47,762","1,46,426","97,287",98.6%,63.4%,72.1%,99.1%,"49,112",33.5%,19.0%,14.4%,29.7%,"₹1,28,17,219",6.99,₹131.75,"6,79,839"
Peenya,"3,42,042","3,36,540","2,24,849","1,59,619","1,57,536","94,214",98.4%,66.8%,71.0%,98.7%,"63,294",40.2%,23.7%,16.3%,27.5%,"₹1,28,29,806",7.43,₹136.18,"7,00,288"
Basaveshwara Nagar,"2,09,372","2,07,901","1,41,083","1,24,203","1,22,674","93,040",99.3%,67.9%,88.0%,98.8%,"29,615",24.1%,12.2%,11.8%,44.4%,"₹1,16,28,025",6.76,₹124.98,"6,28,501"
Nagavara,"3,75,250","3,68,648","2,67,959","1,57,932","1,56,829","92,626",98.2%,72.7%,58.9%,99.3%,"64,187",40.9%,26.1%,14.7%,24.7%,"₹1,17,10,603",6.49,₹126.43,"6,01,121"
Kamakshipalya,"2,11,928","2,10,331","1,41,020","1,24,368","1,22,992","91,513",99.2%,67.0%,88.2%,98.9%,"31,462",25.6%,13.4%,12.1%,43.2%,"₹1,20,80,302",7.19,₹132.01,"6,57,579"
Govindaraja Nagar,"2,02,351","2,00,899","1,31,963","1,17,300","1,15,678","88,261",99.3%,65.7%,88.9%,98.6%,"27,400",23.7%,12.3%,11.3%,43.6%,"₹1,14,86,506",7.08,₹130.14,"6,25,259"
Maruthi Mandir ward,"2,14,457","2,12,684","1,40,160","1,21,293","1,19,454","88,240",99.2%,65.9%,86.5%,98.5%,"31,191",26.1%,14.2%,11.8%,41.1%,"₹1,14,59,517",7.03,₹129.87,"6,20,436"
Avalahalli,"2,48,694","2,46,229","1,68,942","1,34,185","1,32,502","87,935",99.0%,68.6%,79.4%,98.7%,"44,551",33.6%,19.6%,13.9%,35.4%,"₹1,21,35,892",7.52,₹138.01,"6,61,003"
Vidyamanyanagar,"2,53,129","2,49,714","1,50,748","1,25,413","1,23,286","86,711",98.7%,60.4%,83.2%,98.3%,"36,551",29.6%,16.3%,13.2%,34.3%,"₹1,40,61,447",9.30,₹162.16,"8,06,365"
Hosahalli,"2,07,904","2,05,553","1,40,996","1,15,116","1,13,469","78,968",98.9%,68.6%,81.6%,98.6%,"34,482",30.4%,17.0%,13.3%,38.0%,"₹99,99,115",6.85,₹126.62,"5,40,553"
Shankar Matt,"1,90,547","1,89,030","1,27,812","1,09,308","1,07,992","78,342",99.2%,67.6%,85.5%,98.8%,"29,636",27.4%,15.1%,12.2%,41.1%,"₹97,37,417",6.72,₹124.29,"5,26,344"
Vijayanagar,"2,12,560","2,10,379","1,42,297","1,13,526","1,12,144","77,586",99.0%,67.6%,79.8%,98.8%,"34,542",30.8%,17.0%,13.6%,36.5%,"₹86,70,979",5.82,₹111.76,"4,51,547"
Dodda Bidarakallu,"2,69,045","2,63,878","1,64,912","1,20,187","1,18,665","76,180",98.1%,62.5%,72.9%,98.7%,"42,465",35.8%,19.4%,16.2%,28.3%,"₹1,21,73,721",9.05,₹159.80,"6,89,654"
Prakash Nagar,"2,02,571","2,00,666","1,36,905","1,10,946","1,09,617","75,839",99.1%,68.2%,81.0%,98.8%,"33,763",30.8%,17.2%,13.5%,37.4%,"₹92,67,611",6.47,₹122.20,"4,91,005"
Nelagadderanahalli,"2,55,566","2,49,003","1,82,788","1,19,488","1,17,858","75,020",97.4%,73.4%,65.4%,98.6%,"42,814",36.3%,20.7%,15.5%,29.4%,"₹1,04,72,096",7.69,₹139.59,"5,76,810"
Venkateshpura,"3,04,004","2,97,695","2,31,085","1,32,031","1,31,272","74,462",97.9%,77.6%,57.1%,99.4%,"56,794",43.3%,28.7%,14.4%,24.5%,"₹86,26,366",5.88,₹115.85,"4,37,744"
Chandra Layout,"2,02,177","2,00,266","1,35,959","1,08,476","1,07,075","74,307",99.1%,67.9%,79.8%,98.7%,"32,745",30.6%,17.5%,12.9%,36.8%,"₹97,82,509",7.16,₹131.65,"5,31,971"
Binnipete,"2,47,160","2,43,488","1,80,103","1,24,550","1,23,415","72,639",98.5%,74.0%,69.2%,99.1%,"50,760",41.1%,24.9%,16.1%,29.4%,"₹93,25,597",6.84,₹128.38,"4,96,984"
Agrahara Dasarahalli,"1,58,535","1,57,470","1,02,680","89,839","88,899","66,131",99.3%,65.2%,87.5%,99.0%,"22,757",25.6%,13.0%,12.4%,41.7%,"₹87,76,269",7.23,₹132.71,"4,78,351"
Shakthi Ganapathi Nagar,"1,58,958","1,57,744","1,04,796","91,211","90,004","66,033",99.2%,66.4%,87.0%,98.7%,"23,948",26.6%,14.4%,12.0%,41.5%,"₹85,50,528",7.05,₹129.49,"4,65,724"
Cottonpete,"2,74,942","2,69,024","2,07,167","1,30,547","1,29,528","64,207",97.8%,77.0%,63.0%,99.2%,"65,303",50.4%,32.2%,18.1%,23.4%,"₹88,15,116",7.40,₹137.29,"4,75,222"
Herohalli,"1,70,973","1,69,427","1,00,468","89,432","88,244","63,447",99.1%,59.3%,89.0%,98.7%,"24,781",28.1%,14.6%,13.4%,37.1%,"₹93,06,130",8.28,₹146.68,"5,25,025"
Nandini Layout,"1,58,857","1,57,364","1,04,672","87,473","86,354","61,003",99.1%,66.5%,83.6%,98.7%,"25,334",29.3%,15.8%,13.4%,38.4%,"₹78,37,973",6,₹128.49,"4,26,789"
