Ward,Searches,"Searches which got estimate","Searches for Quotes","Searches which got Quotes",Bookings,"Completed Trips","Search-to-estimate Rate","Rider Fare Acceptance Rate","Driver Quote Acceptance Rate","Quote-to-Booking Rate",Cancelled Bookings,"Booking Cancellation Rate","Driver Cancellation Rate","User Cancellation Rate","Conversion Rate","Driver's Earnings","Average Distance per Trip (km)","Average Fare per Trip","Distance Travelled (km)"
J P Nagar,"18,76,723","18,40,665","14,76,021","9,32,871","9,21,471","6,04,022",98.1%,80.2%,63.2%,98.8%,"3,17,280",34.4%,19.6%,14.7%,32.2%,"₹7,85,81,404",6.75,₹130.10,"40,75,270"
Munnekollala,"37,36,249","35,87,050","31,30,532","10,96,891","10,85,170","6,03,995",96.0%,87.3%,35.0%,98.9%,"4,81,005",44.3%,27.9%,16.3%,16.2%,"₹11,24,04,934",9.91,₹186.10,"59,87,411"
Vinayakanagar,"19,42,627","18,98,285","15,52,305","9,50,334","9,39,732","6,01,798",97.7%,81.8%,61.2%,98.9%,"3,37,780",35.9%,20.9%,15.0%,31.0%,"₹8,42,21,413",7.31,₹139.95,"43,99,117"
Banasavadi,"17,83,495","17,47,141","14,28,486","8,61,310","8,52,169","5,92,387",98.0%,81.8%,60.3%,98.9%,"2,59,635",30.5%,18.2%,12.2%,33.2%,"₹7,96,00,371",7,₹134.37,"41,48,268"
Belathur,"22,98,989","22,49,254","17,45,018","9,24,663","9,16,970","5,86,296",97.8%,77.6%,53.0%,99.2%,"3,30,531",36.0%,22.3%,13.7%,25.5%,"₹9,54,18,365",8.68,₹162.75,"50,90,680"
Pulikeshinagar,"18,03,653","17,67,092","14,73,312","8,70,244","8,62,760","5,82,854",98.0%,83.4%,59.1%,99.1%,"2,79,769",32.4%,18.7%,13.6%,32.3%,"₹6,91,72,304",5.93,₹118.68,"34,56,774"
Kalkere,"23,23,573","22,65,018","18,74,102","8,74,288","8,67,314","5,80,141",97.5%,82.7%,46.7%,99.2%,"2,87,042",33.1%,21.7%,11.3%,25.0%,"₹9,26,79,025",8.57,₹159.75,"49,72,746"
New Thippasandra,"19,52,956","18,97,448","16,14,296","8,62,152","8,53,452","5,74,914",97.2%,85.1%,53.4%,99.0%,"2,78,397",32.6%,19.1%,13.4%,29.4%,"₹8,29,50,527",7.50,₹144.28,"43,14,578"
Madivala,"23,62,327","22,91,450","19,31,415","9,70,118","9,57,186","5,74,391",97.0%,84.3%,50.2%,98.7%,"3,82,637",40.0%,22.7%,17.2%,24.3%,"₹7,63,77,884",6.87,₹132.97,"39,48,366"
Hennur,"18,29,151","17,96,252","13,93,827","8,67,634","8,58,950","5,61,781",98.2%,77.6%,62.2%,99.0%,"2,97,041",34.6%,20.6%,13.9%,30.7%,"₹7,90,34,284",7.46,₹140.69,"41,90,789"
Ejipura,"20,67,727","20,10,716","17,31,865","9,15,285","9,05,525","5,52,794",97.2%,86.1%,52.8%,98.9%,"3,52,558",38.9%,23.0%,15.8%,26.7%,"₹7,42,28,279",6.87,₹134.28,"37,99,516"
