ward,searches,searches_with_estimate,searches_for_quotes,searches_with_quotes,bookings,completed_trips,search_to_estimate_rate,rider_fare_acceptance_rate,driver_quote_acceptance_rate,quote_to_booking_rate,cancelled_bookings,booking_cancellation_rate,driver_cancellation_rate,user_cancellation_rate,conversion_rate,driver_earnings,avg_distance,avg_fare,distance_travelled_km,earnings_per_km,supply_gap,revenue_leakage,reliability_score
Deen Dayalu Ward,328950.0,324433.0,231782.0,161174.0,159114.0,102482.0,0.986,0.7140000000000001,0.695,0.987,56604.0,0.35600000000000004,0.21899999999999997,0.135,0.312,13345064.0,6.99,130.22,716724.0,18.61952997248592,167776.0,-13016256.04,0.542795
Banashankari Temple ward,363100.0,358951.0,247594.0,171053.0,169253.0,102193.0,0.9890000000000001,0.69,0.691,0.9890000000000001,67034.0,0.396,0.23199999999999998,0.163,0.281,11271072.0,5.63,110.29,575265.0,19.59283460665954,192047.0,-10907765.97,0.5306879999999999
Shivanagara,237306.0,235399.0,160523.0,136163.0,134661.0,99421.0,0.992,0.682,0.848,0.9890000000000001,35221.0,0.262,0.136,0.124,0.419,12258121.0,6.61,123.3,657147.0,18.653544792869784,101143.0,-12021303.299999999,0.732672
Mahalakshimpuram,239548.0,237377.0,163505.0,137951.0,136482.0,98556.0,0.991,0.6890000000000001,0.8440000000000001,0.9890000000000001,37898.0,0.278,0.154,0.122,0.41100000000000003,12162328.0,6.61,123.41,651265.0,18.674929560163683,101597.0,-11923247.959999999,0.7140240000000001
Bagalakunte,327889.0,323154.0,204907.0,147762.0,146426.0,97287.0,0.986,0.634,0.721,0.991,49112.0,0.335,0.19,0.14400000000000002,0.297,12817219.0,6.99,131.75,679839.0,18.8533152702331,180127.0,-12489673.25,0.58401
Peenya,342042.0,336540.0,224849.0,159619.0,157536.0,94214.0,0.9840000000000001,0.6679999999999999,0.71,0.987,63294.0,0.402,0.237,0.163,0.275,12829806.0,7.43,136.18,700288.0,18.320756602997623,182423.0,-12488020.520000001,0.5417299999999999
Basaveshwara Nagar,209372.0,207901.0,141083.0,124203.0,122674.0,93040.0,0.993,0.679,0.88,0.988,29615.0,0.24100000000000002,0.122,0.11800000000000001,0.444,11628025.0,6.76,124.98,628501.0,18.501203657591635,85169.0,-11418767.200000001,0.77264
Nagavara,375250.0,368648.0,267959.0,157932.0,156829.0,92626.0,0.982,0.727,0.589,0.993,64187.0,0.409,0.261,0.147,0.247,11710603.0,6.49,126.43,601121.0,19.4812741527912,217318.0,-11335455.18,0.43527099999999996
Kamakshipalya,211928.0,210331.0,141020.0,124368.0,122992.0,91513.0,0.992,0.67,0.882,0.9890000000000001,31462.0,0.256,0.134,0.121,0.43200000000000005,12080302.0,7.19,132.01,657579.0,18.370875590613448,87560.0,-11868703.129999999,0.763812
Govindaraja Nagar,202351.0,200899.0,131963.0,117300.0,115678.0,88261.0,0.993,0.657,0.889,0.986,27400.0,0.237,0.12300000000000001,0.113,0.436,11486506.0,7.08,130.14,625259.0,18.370796741830187,85051.0,-11283935.54,0.779653
