ward,searches,searches_with_estimate,searches_for_quotes,searches_with_quotes,bookings,completed_trips,search_to_estimate_rate,rider_fare_acceptance_rate,driver_quote_acceptance_rate,quote_to_booking_rate,cancelled_bookings,booking_cancellation_rate,driver_cancellation_rate,user_cancellation_rate,conversion_rate,driver_earnings,avg_distance,avg_fare,distance_travelled_km,earnings_per_km,supply_gap,revenue_leakage,reliability_score
Chandra Layout,202177.0,200266.0,135959.0,108476.0,107075.0,74307.0,0.991,0.679,0.7979999999999999,0.987,32745.0,0.306,0.175,0.129,0.368,9782509.0,7.16,131.65,531971.0,18.389177229585822,93701.0,-9580339.55,0.6583499999999999
Binnipete,247160.0,243488.0,180103.0,124550.0,123415.0,72639.0,0.985,0.74,0.6920000000000001,0.991,50760.0,0.41100000000000003,0.249,0.161,0.294,9325597.0,6.84,128.38,496984.0,18.76438074465174,122610.0,-9078234.82,0.519692
Agrahara Dasarahalli,158535.0,157470.0,102680.0,89839.0,88899.0,66131.0,0.993,0.652,0.875,0.99,22757.0,0.256,0.13,0.124,0.41700000000000004,8776269.0,7.23,132.71,478351.0,18.34692307531499,68696.0,-8617710.01,0.76125
Shakthi Ganapathi Nagar,158958.0,157744.0,104796.0,91211.0,90004.0,66033.0,0.992,0.664,0.87,0.987,23948.0,0.266,0.14400000000000002,0.12,0.415,8550528.0,7.05,129.49,465724.0,18.35964648590152,67747.0,-8391655.17,0.7447199999999999
Cottonpete,274942.0,269024.0,207167.0,130547.0,129528.0,64207.0,0.978,0.77,0.63,0.992,65303.0,0.504,0.322,0.18100000000000002,0.23399999999999999,8815116.0,7.4,137.29,475222.0,18.549469511091658,144395.0,-8540037.03,0.42713999999999996
Herohalli,170973.0,169427.0,100468.0,89432.0,88244.0,63447.0,0.991,0.593,0.89,0.987,24781.0,0.281,0.146,0.134,0.371,9306130.0,8.28,146.68,525025.0,17.72511785153088,81541.0,-9135432.96,0.76006
Nandini Layout,158857.0,157364.0,104672.0,87473.0,86354.0,61003.0,0.991,0.665,0.836,0.987,25334.0,0.293,0.158,0.134,0.384,7837973.0,6.0,128.49,426789.0,18.364983633598804,71384.0,-7679418.470000001,0.703912
Puneet Rajkumar,155485.0,154045.0,102604.0,85426.0,84507.0,58874.0,0.991,0.6659999999999999,0.833,0.9890000000000001,25619.0,0.303,0.168,0.133,0.379,7128451.0,6.53,121.08,384702.0,18.529799689110014,70059.0,-6972978.92,0.6930559999999999
Ranadheera Kanteerava,173973.0,171669.0,110071.0,87986.0,86936.0,58276.0,0.987,0.6409999999999999,0.799,0.988,28641.0,0.32899999999999996,0.18100000000000002,0.147,0.335,7092096.0,6.57,121.7,382742.0,18.52970408264575,85987.0,-6918216.2,0.654381
Rajagopal Nagar,173122.0,169759.0,117389.0,84966.0,84085.0,56745.0,0.981,0.6920000000000001,0.7240000000000001,0.99,27329.0,0.325,0.184,0.14,0.32799999999999996,7620900.0,7.32,134.3,415480.0,18.342399152787138,88156.0,-7447731.500000001,0.5907840000000001
Hongasandra,233138.0,226423.0,179019.0,90657.0,89865.0,53565.0,0.971,0.7909999999999999,0.506,0.991,36289.0,0.40399999999999997,0.253,0.15,0.23,8183331.0,8.22,152.77,440070.0,18.595521167087053,142481.0,-7949987.050000001,0.377982
Dayananda Nagar,146434.0,144634.0,104886.0,79684.0,78974.0,52959.0,0.988,0.725,0.76,0.991,26003.0,0.32899999999999996,0.19,0.138,0.36200000000000004,6072899.0,6.02,114.67,318554.0,19.063954619938848,66750.0,-5926374.53,0.6156
Azad Nagar,166500.0,163833.0,118920.0,85547.0,84644.0,52538.0,0.9840000000000001,0.726,0.7190000000000001,0.9890000000000001,32083.0,0.379,0.23800000000000002,0.14,0.316,6505822.0,6.68,123.83,350839.0,18.54361117207608,80953.0,-6339280.54,0.5478780000000001
Nayandahalli,168816.0,166926.0,106345.0,80805.0,79942.0,50352.0,0.9890000000000001,0.637,0.76,0.9890000000000001,29575.0,0.37,0.214,0.155,0.298,7172893.0,7.79,142.45,392215.0,18.288165929400968,88011.0,-7003826.399999999,0.59736
Muneshwara Nagar,187150.0,183743.0,136045.0,80190.0,79709.0,44715.0,0.982,0.74,0.589,0.9940000000000001,34978.0,0.439,0.278,0.159,0.239,5449237.0,6.3,121.87,281488.0,19.358683141022,106960.0,-5262267.05,0.42525799999999997
Mudalapalya,121128.0,120142.0,74510.0,63712.0,62955.0,44059.0,0.992,0.62,0.855,0.988,18885.0,0.3,0.162,0.136,0.364,5716931.0,7.08,129.76,312064.0,18.31973889971288,57416.0,-5595967.84,0.71649
Mallasandra,134577.0,132148.0,92009.0,65233.0,64497.0,42979.0,0.982,0.696,0.7090000000000001,0.9890000000000001,21510.0,0.33399999999999996,0.19899999999999998,0.133,0.319,5476509.0,6.86,127.42,294708.0,18.582831141333116,69344.0,-5341807.18,0.5679090000000001
Jai Maruthinagara,120636.0,119509.0,79130.0,64640.0,63798.0,42484.0,0.991,0.662,0.8170000000000001,0.987,21303.0,0.33399999999999996,0.19399999999999998,0.138,0.35200000000000004,5099210.0,6.46,120.03,274658.0,18.565670761456065,55996.0,-4978718.5200000005,0.6585020000000001
Sunkadakatte,120105.0,118514.0,73999.0,61085.0,60408.0,39806.0,0.987,0.624,0.825,0.9890000000000001,20587.0,0.341,0.19,0.149,0.331,5237203.0,7.22,131.57,287579.0,18.21135409748278,59020.0,-5117170.42,0.66825
Veera Sindhura Lakshamana,119477.0,117909.0,74067.0,59299.0,58522.0,38886.0,0.987,0.628,0.8009999999999999,0.987,19627.0,0.335,0.185,0.149,0.325,4919961.0,6.9,126.52,268496.0,18.324150080448124,60178.0,-4800379.72,0.6528149999999999
Kaveripura,109322.0,108065.0,71259.0,58214.0,57687.0,37444.0,0.9890000000000001,0.659,0.8170000000000001,0.991,20239.0,0.35100000000000003,0.20800000000000002,0.141,0.34299999999999997,5277270.0,7.76,140.94,290393.0,18.17285540629423,51108.0,-5168035.36,0.6470640000000001
S K Garden,159227.0,155738.0,121487.0,64047.0,63740.0,34898.0,0.978,0.78,0.527,0.995,28829.0,0.452,0.297,0.154,0.21899999999999997,4319286.0,6.4,123.77,223506.0,19.325145633674264,95180.0,-4160098.46,0.37048100000000006
Hegganahalli,107354.0,105859.0,67691.0,53884.0,53220.0,34636.0,0.986,0.639,0.7959999999999999,0.988,18577.0,0.349,0.2,0.14800000000000002,0.32299999999999995,4741324.0,7.55,136.89,261511.0,18.13049546672989,53470.0,-4633968.039999999,0.6368
Rajeshwari Nagar,104976.0,103287.0,64877.0,50533.0,49723.0,32375.0,0.9840000000000001,0.628,0.779,0.9840000000000001,17338.0,0.349,0.19899999999999998,0.149,0.308,4121536.0,6.92,127.31,224072.0,18.393801992216787,54443.0,-4016685.25,0.6239790000000001
Vrisabhavathi Nagar,97345.0,96341.0,60021.0,49645.0,49119.0,32313.0,0.99,0.623,0.8270000000000001,0.9890000000000001,16798.0,0.342,0.19899999999999998,0.141,0.332,4089694.0,6.88,126.56,222408.0,18.388250422646667,47700.0,-3992188.2800000003,0.6624270000000001
Jagajivanaram Nagar,117395.0,115506.0,83144.0,57590.0,56959.0,31304.0,0.9840000000000001,0.72,0.693,0.9890000000000001,25650.0,0.45,0.275,0.174,0.267,4285576.0,7.46,136.9,233632.0,18.343274893850158,59805.0,-4168122.6000000006,0.5024249999999999
Chalavadipalya,108671.0,106639.0,76669.0,49723.0,49375.0,27663.0,0.981,0.7190000000000001,0.649,0.993,21701.0,0.44,0.272,0.166,0.255,3743861.0,7.26,135.34,200904.0,18.63507446342532,58948.0,-3635239.42,0.472472
Lakshmi Devi Nagar,73565.0,72687.0,45730.0,37165.0,36775.0,24241.0,0.988,0.629,0.813,0.99,12529.0,0.341,0.196,0.14300000000000002,0.33,3030491.0,6.78,125.02,164379.0,18.435998515625474,36400.0,-2957044.82,0.653652
Bapuji Nagar,92474.0,91323.0,61954.0,45629.0,45317.0,23693.0,0.988,0.6779999999999999,0.736,0.993,21618.0,0.47700000000000004,0.319,0.156,0.256,3005466.0,6.76,126.85,160150.0,18.766568841710896,46845.0,-2912983.05,0.501216
Padarayanapura,96108.0,94632.0,66158.0,44051.0,43553.0,22962.0,0.985,0.6990000000000001,0.6659999999999999,0.9890000000000001,20582.0,0.473,0.285,0.185,0.239,3244770.0,7.55,141.31,173361.0,18.71683942755291,52057.0,-3148652.22,0.47619
Kempapura Agrahara,69315.0,68320.0,45380.0,33406.0,33127.0,19391.0,0.986,0.664,0.736,0.992,13732.0,0.415,0.255,0.158,0.28,2306221.0,6.34,118.93,122980.0,18.752813465604163,35909.0,-2236856.6300000004,0.54832
Devaraj Urs Nagar,83371.0,81993.0,56588.0,38448.0,38049.0,18691.0,0.983,0.69,0.679,0.99,19354.0,0.509,0.324,0.183,0.22399999999999998,2497278.0,7.09,133.61,132537.0,18.842119559066525,44923.0,-2413933.5100000002,0.45900399999999997
Devara Jeevanahalli,58368.0,56972.0,43686.0,22707.0,22605.0,9728.0,0.976,0.767,0.52,0.996,12873.0,0.569,0.41600000000000004,0.152,0.16699999999999998,1350728.0,7.39,138.85,71891.0,18.78855489560585,35661.0,-1292364.8,0.30368
